ID,Forename,Surname,ImageURL,ImageActionURL
3580,Radamel,FALCAO,https://cdn.soccerwiki.org/images/player/3580.png,
10538,Cristián,ZAPATA,https://cdn.soccerwiki.org/images/player/10538.png,
13718,Javier,REINA,https://cdn.soccerwiki.org/images/player/13718.png,
13724,Brayan,ANGULO,https://cdn.soccerwiki.org/images/player/13724.png,
14101,Dayro,MORENO,https://cdn.soccerwiki.org/images/player/14101.png,
17557,Hugo,RODALLEGA,https://cdn.soccerwiki.org/images/player/17557.png,
20702,Darwin,QUINTERO,https://cdn.soccerwiki.org/images/player/20702.png,
20852,Elkin,MOSQUERA,https://cdn.soccerwiki.org/images/player/20852.png,
20864,Luis,PEREA,https://cdn.soccerwiki.org/images/player/20864.png,
20869,Marlon,PIEDRAHITA,https://cdn.soccerwiki.org/images/player/20869.png,
20878,David,OSPINA,https://cdn.soccerwiki.org/images/player/20878.png,
21152,Carlos,SÁNCHEZ,https://cdn.soccerwiki.org/images/player/21152.png,
23804,Jhonny,VÁSQUEZ,https://cdn.soccerwiki.org/images/player/23804.png,
23836,Juan Guillermo,DOMÍNGUEZ,https://cdn.soccerwiki.org/images/player/23836.jpg,
23974,Camilo,VARGAS,https://cdn.soccerwiki.org/images/player/23974.png,
23976,Adrián,RAMOS,https://cdn.soccerwiki.org/images/player/23976.png,
23978,Óscar,RODAS,https://cdn.soccerwiki.org/images/player/23978.jpg,
23985,Christian,MARRUGO,https://cdn.soccerwiki.org/images/player/23985.png,
24016,Sherman,CÁRDENAS,https://cdn.soccerwiki.org/images/player/24016.png,
24047,Fredy,MONTERO,https://cdn.soccerwiki.org/images/player/24047.png,
24049,Donald,MILLÁN,https://cdn.soccerwiki.org/images/player/24049.png,
24074,Juan,MAHECHA,https://cdn.soccerwiki.org/images/player/24074.jpg,
24098,César,HINESTROZA,https://cdn.soccerwiki.org/images/player/24098.jpg,
24383,Alexander,MEJÍA,https://cdn.soccerwiki.org/images/player/24383.png,
24386,Diego,CHARÁ,https://cdn.soccerwiki.org/images/player/24386.png,
24387,Pablo,ESCOBAR,https://cdn.soccerwiki.org/images/player/24387.png,
24406,Luis,JIMÉNEZ,,
